amazon_order_id,automated_shipping_setting_automated_carrier,automated_shipping_setting_automated_ship_method,automated_shipping_setting_has_automated_shipping_settings,buyer_info_buyer_email,buyer_info_buyer_county,buyer_info_buyer_name,buyer_info_purchase_order_number,buyer_invoice_preference,buyer_tax_info_buyer_business_address,buyer_tax_info_buyer_legal_company_name,buyer_tax_info_buyer_tax_office,buyer_tax_info_buyer_tax_registration_id,cba_displayable_shipping_label,earliest_delivery_date,earliest_ship_date,easy_ship_shipment_status,electronic_invoice_status,fulfillment_channel,fulfillment_supply_source_id,has_regulated_items,is_access_point_order,is_business_order,is_estimated_ship_date_set,is_global_express_enabled,is_iba,is_ispu,is_premium_order,is_prime,is_replacement_order,is_sold_by_ab,last_update_date,latest_delivery_date,latest_ship_date,marketplace_id,number_of_items_shipped,number_of_items_unshipped,order_channel,order_status,order_total_amount,order_total_currency_code,order_type,payment_method,promise_response_due_date,purchase_date,replaced_order_id,sales_channel,seller_display_name,seller_order_id,ship_service_level,shipment_service_level_category,default_ship_from_location_address_line_1,default_ship_from_location_address_line_2,default_ship_from_location_address_line_3,default_ship_from_location_address_type,default_ship_from_location_city,default_ship_from_location_country_code,default_ship_from_location_county,default_ship_from_location_district,default_ship_from_location_municipality,default_ship_from_location_name,default_ship_from_location_phone,default_ship_from_location_postal_code,default_ship_from_location_state_or_region,shipping_address_address_line_1,shipping_address_address_line_2,shipping_address_address_line_3,shipping_address_address_type,shipping_address_city,shipping_address_country_code,shipping_address_county,shipping_address_district,shipping_address_municipality,shipping_address_name,shipping_address_phone,shipping_address_postal_code,shipping_address_state_or_region
ORDER00000,DHL,Two-Day,f,user@yahoo.com,Harris County,Alice Johnson,PO-8868,INDIVIDUAL,"123 Fake Street, Orange County",John Doe,Office-32,VAT-510126,Shipping Label 0,2025-01-29 00:00:28.112,2025-01-24 00:00:28.112,PendingSchedule,Accepted,MFN,Source-72,t,f,t,t,f,t,t,f,t,t,f,2025-01-21 18:11:28,2025-02-07 00:00:00,2025-02-03 00:00:00,MPIDRANDOM,3,0,Amazon.de,Canceled,"2,329.86",USD,StandardOrder,COD,2025-01-30 18:11:28,2024-12-31 18:11:28,REPLACED_ORDER_7992,Amazon.de,Logan Roy,SELLER_ORDER_4351,Two-Day,Expedited,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,123 Fake Street,,,,Buttersburg,,,,,,,90210,CA
ORDER00001,FedEx,Two-Day,t,user@yahoo.com,Orange County,Alice Johnson,PO-1348,INDIVIDUAL,"123 Fake Street, Orange County",John Doe,Office-12,VAT-673789,Shipping Label 1,2025-01-31 00:00:28.112,2025-01-24 00:00:28.112,PickedUp,Accepted,MFN,Source-77,f,f,f,t,f,f,f,f,f,t,t,2025-01-09 18:11:28,2025-02-05 00:00:00,2025-02-09 00:00:00,MPIDRANDOM,5,2,Amazon.de,Unshipped,-242.45,USD,StandardOrder,COD,2025-02-02 18:11:28,2025-01-07 18:11:28,REPLACED_ORDER_6603,Amazon.de,Logan Roy,SELLER_ORDER_7476,Expedited,Expedited,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,123 Fake Street,,,,Buttersburg,,,,,,,90210,CA
ORDER00002,DHL,Two-Day,f,customer@hotmail.com,Orange County,Jane Smith,PO-1312,INDIVIDUAL,"123 Fake Street, Harris County",Bob Brown,Office-43,VAT-703727,Shipping Label 2,2025-02-01 00:00:28.112,2025-01-27 00:00:28.112,Delivered,Accepted,AFN,Source-24,f,f,t,t,f,t,t,f,t,f,t,2025-01-09 18:11:28,2025-01-30 00:00:00,2025-02-11 00:00:00,MPIDRANDOM,6,0,Amazon.com,Pending,284.36a,USD,StandardOrder,COD,2025-01-31 18:11:28,2025-01-20 18:11:28,REPLACED_ORDER_9685,Amazon.de,Logan Roy,SELLER_ORDER_5052,Same-Day,Expedited,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,123 Fake Street,,,,Buttersburg,,,,,,,90210,CA
ORDER00003,UPS,Expedited,t,customer@hotmail.com,Harris County,John Doe,PO-5383,INDIVIDUAL,"123 Fake Street, Harris County",Jane Smith,Office-7,VAT-223433,Shipping Label 3,2025-02-01 00:00:28.112,2025-01-22 00:00:28.112,LabelCanceled,Accepted,MFN,Source-97,t,f,t,t,f,f,t,f,t,f,f,2025-01-17 18:11:28,2025-02-05 00:00:00,2025-02-09 00:00:00,MPIDRANDOM,3,6,Amazon.com,Unshipped,"-2,036.14",USD,StandardOrder,COD,2025-01-30 18:11:28,2025-01-16 18:11:28,REPLACED_ORDER_9213,Amazon.com,Logan Roy,SELLER_ORDER_5225,Standard,Expedited,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,123 Fake Street,,,,Buttersburg,,,,,,,90210,CA
ORDER00004,UPS,Two-Day,f,customer@hotmail.com,Orange County,Alice Johnson,PO-4492,INDIVIDUAL,"123 Fake Street, Orange County",John Doe,Office-30,VAT-201089,Shipping Label 4,2025-02-06 00:00:28.112,2025-01-25 00:00:28.112,PendingPickUp,Accepted,AFN,Source-57,f,t,t,t,t,t,f,t,t,f,f,2025-01-15 18:11:28,2025-01-29 00:00:00,2025-02-06 00:00:00,MPIDRANDOM,3,2,Amazon.com,Pending,294.03,USD,StandardOrder,COD,2025-01-31 18:11:28,2025-01-16 18:11:28,REPLACED_ORDER_6148,Amazon.ca,Logan Roy,SELLER_ORDER_5960,Two-Day,Expedited,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,123 Fake Street,,,,Buttersburg,,,,,,,90210,CA
ORDER00005,USPS,Standard,f,example@gmail.com,Harris County,Bob Brown,PO-6570,INDIVIDUAL,"123 Fake Street, Orange County",Bob Brown,Office-15,VAT-556212,Shipping Label 5,2025-01-30 00:00:28.112,2025-01-26 00:00:28.112,DroppedOff,Accepted,MFN,Source-88,t,t,t,t,f,f,t,f,f,f,f,2025-01-23 18:11:28,2025-02-07 00:00:00,2025-02-07 00:00:00,MPIDRANDOM,1,2,Amazon.com,Shipped,124.38,USD,StandardOrder,COD,2025-01-29 18:11:28,2025-01-07 18:11:28,REPLACED_ORDER_4767,Amazon.com,Logan Roy,SELLER_ORDER_7810,Expedited,Expedited,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,123 Fake Street,,,,Buttersburg,,,,,,,90210,CA
ORDER00006,DHL,Expedited,f,customer@hotmail.com,King County,Bob Brown,PO-6879,INDIVIDUAL,"123 Fake Street, Orange County",John Doe,Office-32,VAT-515965,Shipping Label 6,2025-02-03 00:00:28.112,2025-01-19 00:00:28.112,AtOriginFC,Accepted,MFN,Source-9,t,f,t,t,f,t,f,f,t,f,f,2025-01-14 18:11:28,2025-02-03 00:00:00,2025-02-08 00:00:00,MPIDRANDOM,4,2,Amazon.ca,Shipped,65.24,USD,StandardOrder,COD,2025-02-02 18:11:28,2025-01-05 18:11:28,REPLACED_ORDER_5410,Amazon.de,Logan Roy,SELLER_ORDER_8355,Two-Day,Expedited,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,123 Fake Street,,,,Buttersburg,,,,,,,90210,CA
ORDER00007,FedEx,Same-Day,t,customer@hotmail.com,King County,Jane Smith,PO-7431,INDIVIDUAL,"123 Fake Street, Harris County",Alice Johnson,Office-21,VAT-798589,Shipping Label 7,2025-02-05 00:00:28.112,2025-01-20 00:00:28.112,AtDestinationFC,Accepted,AFN,Source-98,t,t,f,f,t,t,t,f,f,t,t,2025-01-02 18:11:28,2025-02-07 00:00:00,2025-02-03 00:00:00,MPIDRANDOM,2,10,Amazon.ca,Shipped,359.6,USD,StandardOrder,COD,2025-01-30 18:11:28,2024-12-30 18:11:28,REPLACED_ORDER_5308,Amazon.de,Logan Roy,SELLER_ORDER_4214,Two-Day,Expedited,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,123 Fake Street,,,,Buttersburg,,,,,,,90210,CA
ORDER00008,FedEx,Same-Day,f,example@gmail.com,King County,John Doe,PO-9391,INDIVIDUAL,"123 Fake Street, King County",Jane Smith,Office-28,VAT-258405,Shipping Label 8,2025-02-06 00:00:28.112,2025-01-25 00:00:28.112,RejectedByBuyer,Accepted,MFN,Source-86,f,f,f,t,f,f,t,f,f,t,f,2025-01-25 18:11:28,2025-02-05 00:00:00,2025-02-06 00:00:00,MPIDRANDOM,0,5,Amazon.de,Unshipped,34.99,USD,StandardOrder,COD,2025-01-29 18:11:28,2025-01-19 18:11:28,REPLACED_ORDER_5780,Amazon.ca,Logan Roy,SELLER_ORDER_9527,Two-Day,Expedited,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,123 Fake Street,,,,Buttersburg,,,,,,,90210,CA
ORDER00009,UPS,Standard,f,example@gmail.com,Harris County,Alice Johnson,PO-6010,INDIVIDUAL,"123 Fake Street, Orange County",Alice Johnson,Office-42,VAT-552748,Shipping Label 9,2025-02-01 00:00:28.112,2025-01-27 00:00:28.112,Delivered,Accepted,MFN,Source-30,f,t,t,t,f,t,f,t,t,f,f,2025-01-06 18:11:28,2025-02-07 00:00:00,2025-02-12 00:00:00,MPIDRANDOM,3,2,Amazon.ca,Unshipped,60.21,USD,StandardOrder,COD,2025-01-30 18:11:28,2025-01-24 18:11:28,REPLACED_ORDER_5765,Amazon.ca,Logan Roy,SELLER_ORDER_5704,Standard,Expedited,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,123 Fake Street,,,,Buttersburg,,,,,,,90210,CA
