order_item_id,amazon_order_id,is_gift,is_transparency,asin,buyer_requested_cancel_is_buyer_requested_cancel,buyer_requested_cancel_buyer_cancel_reason,condition_id,condition_note,condition_subtype_id,deemed_reseller_category,ioss_number,item_approval_context_approval_status,item_approval_context_approval_type,item_price_amount,item_price_currency_code,item_tax_amount,item_tax_currencycode,points_granted_monetary_amount,points_granted_monetary_currency_code,points_granted_points_number,price_designation,product_info_detail_number_of_items,promotion_discount_amount,promotion_discount_currency_code,promotion_discount_tax_currency_code,promotion_discount_tax_amount,quantity_ordered,quantity_shipped,scheduled_delivery_end_date,scheduled_delivery_start_date,seller_sku,serial_number_required,shipping_discount_amount,shipping_discount_currency_code,shipping_discount_tax_amount,shipping_discount_tax_currency_code,shipping_price_amount,shipping_price_currency_code,shipping_tax_amount,shipping_tax_currency_code,store_chain_store_id,tax_collection_model,tax_collection_responsible_party,title
ITEM00000 ,ORDER00000,False,False,B0E7STG6605,False,Delayed delivery,New,Note for condition 0,New,IOSS,IOSS-43539,Approved,Automatic,-32.52,USD,8.62,USD,1.06,USD,70,Standard,3,11.01,USD,USD,-3.03,2,1,2025-01-29,2025-01-28,SKU-2307,True,-9.08,USD,-0.94,USD,-4.52,USD,-2.85,USD,Store-78,MarketplaceFacilitator,Amazon Services,Bluetooth Speaker
ITEM00001 ,ORDER00001,False,False,B0E7STG6684,True,Found cheaper,New,Note for condition 1,Mint,IOSS,IOSS-11208,Rejected,Automatic,"8,099.24",USD,8.0,USD,2.43,USD,79,Standard,7,"3,000.75",USD,USD,-0.32,5,6,2025-01-31,2025-01-23,SKU-2112,True,"1,000.01",USD,"1,000.13",USD,"1,700.76",USD,"2,111.19",USD,Store-83,MarketplaceFacilitator,Amazon Services,Bluetooth Speaker
ITEM00002 ,ORDER00002,False,True,B0E7STG4721,False,Changed mind,New,Note for condition 2,Very Good,IOSS,IOSS-98378,Approved,Manual,"-2,001.98",USD,-2.63,USD,4.16,USD,71,Standard,1,-19.20,USD,USD,"3,000.87",8,9,2025-02-01,2025-01-26,SKU-6455,True,"-4,000.22",USD,0.01,USD,"-1,000.54",USD,"-3,123.69",USD,Store-91,MarketplaceFacilitator,Amazon Services,Phone Case
ITEM00003 ,ORDER00003,False,False,B0E7STG7286,False,Found cheaper,New,Note for condition 3,Acceptable,IOSS,IOSS-33025,Rejected,Manual,39.01a,USD,3.11,USD,4.78,USD,97,Standard,6,"-1,900.86",USD,USD,0.09,9,4,2025-01-31,2025-01-28,SKU-8147,True,0.92,USD,"-1,000.38",USD,5.68,USD,1.10,USD,Store-22,MarketplaceFacilitator,Amazon Services,Laptop Stand
ITEM00004 ,ORDER00004,True,False,B0E7STG6845,True,Changed mind,New,Note for condition 4,Poor,IOSS,IOSS-18590,Pending,Automatic,57.61,USD,3.55,USD,2.18,USD,7,Standard,8,16.67,USD,USD,0.12,3,9,2025-01-29,2025-01-26,SKU-9543,False,9.74,USD,1.13,USD,16.48,USD,4.87,USD,Store-99,MarketplaceFacilitator,Amazon Services,Bluetooth Speaker
ITEM00005 ,ORDER00005,True,True,B0E7STG9922,False,Delayed delivery,New,Note for condition 5,Club,IOSS,IOSS-95905,Pending,Automatic,a74.44,USD,1.87,USD,4.53,USD,55,Standard,7,19.82,USD,USD,"-3,001.97",7,7,2025-02-01,2025-01-28,SKU-2514,False,0.14,USD,0.21,USD,11.35,USD,0.73,USD,Store-47,MarketplaceFacilitator,Amazon Services,Phone Case
ITEM00006 ,ORDER00006,False,False,B0E7STG1865,True,Found cheaper,New,Note for condition 6,OEM,IOSS,IOSS-74555,Pending,Automatic,42.37,USD,3.48,USD,4.82,USD,94,Standard,4,0.37,USD,USD,4.34,7,1,2025-01-31,2025-01-24,SKU-7898,False,3.19,USD,0.41,USD,4.29,USD,0.40,USD,Store-92,MarketplaceFacilitator,Amazon Services,Wireless Mouse
ITEM00007 ,ORDER00007,True,True,B0E7STG4397,True,Found cheaper,New,Note for condition 7,Warranty,IOSS,IOSS-55443,Rejected,Manual,39.38.0,USD,8.56,USD,4.86,USD,44,Standard,4,19.75,USD,USD,3.99,7,6,2025-02-02,2025-01-28,SKU-3309,False,7.31,USD,0.97,USD,12.99,USD,4.10,USD,Store-76,MarketplaceFacilitator,Amazon Services,Wireless Mouse
ITEM00008 ,ORDER00008,False,False,B0E7STG6340,True,Changed mind,New,Note for condition 8,Refurbished Warrnty,IOSS,IOSS-65630,Pending,Automatic,-25.26.1,USD,7.48,USD,4.77,USD,70,Standard,5,6.31,USD,USD,3.08,10,7,2025-01-29,2025-01-25,SKU-4194,False,5.11,USD,0.45,USD,19.24,USD,1.34,USD,Store-33,MarketplaceFacilitator,Amazon Services,Laptop Stand
ITEM00009 ,ORDER00009,True,False,B0E7STG1461,True,Found cheaper,New,Note for condition 9,Refurbished,IOSS,IOSS-67162,Pending,Automatic,-53.52-,USD,1.64,USD,3.55,USD,100,Standard,9,11.21,USD,USD,1.35,2,2,2025-01-30,2025-01-24,SKU-5170,False,3.49,USD,0.53,USD,3.39,USD,4.73,USD,Store-52,MarketplaceFacilitator,Amazon Services,Bluetooth Speaker
