directory_id,id,_fivetran_synced,creation_date,directory_unsubscribe_date,directory_unsubscribed,email,email_domain,embedded_data_last_active_time,embedded_data_last_response_date,embedded_data_login_date,ext_ref,first_name,language,last_modified,last_name,phone,write_blanks
POOL_vw3p9mEAf692Aql,,2023-06-05 03:06:31.110,2020-07-09 08:32:46.467,,False,abc@abc.com,abc.com,,,,,S,,2020-08-04 09:53:30.138,M,3232323.0,
POOL_vw3p9mEAf692Aql,,2023-06-05 03:06:31.145,2020-06-24 15:44:46.380,,False,abc1@abc1.com,abc1.com,,,,,Saksham,,2020-06-24 15:44:46.380,Malhotra,,
POOL_vw3p9mEAf692Aql,,2023-06-05 03:06:31.668,2020-06-24 15:45:38.798,,False,abc2@abc2.com,abc2.com,,,,,Saksham,,2020-06-24 15:45:38.798,,,
POOL_vw3p9mEAf692Aql,,2023-06-05 03:06:31.215,2020-06-24 15:49:29.330,,False,abc3@abc3.com,abc3.com,,,,,,,2020-06-24 15:49:29.330,Malhotra,,
POOL_vw3p9mEAf692Aql,,2023-06-05 03:06:31.097,2020-08-06 05:50:32.126,,False,connect2me@gmail.com,gmail.com,,,,,me k,,2020-08-07 09:48:20.651,Aggarwal,,
pOOL_vw3p9meAf692Aql6,00001,2023-06-05 00:00:00.000,2020-07-18 00:00:00.000,,False,Connect2me@gmail.com1,Abc2.coM,vAL1,vaL8,vaL3,VaL,s3,Val,2020-07-14 00:00:00.000,m9,3232313.0,VAl4
POOL_vw3p9mEaf692aql,00002,2023-06-05 00:00:00.000,2020-06-30 00:00:00.000,,False,Connect2me2@gmail.cOm16,Abc316.com,val19,val87,VAl37,VAL1,S9,vaL4,2020-08-03 00:00:00.000,M0,3232305.0,VAL46
pOOL_vw3p9meAf692Aql61,00003,2023-06-05 00:00:00.000,2020-07-01 00:00:00.000,,False,AbC3@abc3.Com0,Abc2.cOm1,val199,val8,vAL34,VAL1,mE4 K1,VAl,2020-07-06 00:00:00.000,M6,3232307.0,vAl21
POOL_vW3p2mEAf695Aql1,00004,2023-06-05 00:00:00.000,2020-06-30 00:00:00.000,,False,ConneCt2me@gmail.CoM10,abc2.cOm15,vaL609,vAl80,VAL372,VaL16,s9,vaL0,2020-07-05 00:00:00.000,m,3232319.0,vAl263
POOL_vw3p9mEAf692AQl9,00005,2023-06-05 00:00:00.000,2020-07-30 00:00:00.000,,False,ABC37@abc3.Com09,Abc27.com1,vaL13,vAl82,VAL37,VAL69,SaksHam4,VAL9,2020-07-14 00:00:00.000,m01,3232310.0,vAl768
POOL6_vW3p2mEAf695Aql13,00006,2023-06-05 00:00:00.000,2020-07-31 00:00:00.000,,False,Abc2@abc2.com6,gmAIl.com1,vAl192,Val86,vAL946,vAl,S9,VAL91,2020-06-27 00:00:00.000,M5,3232296.0,vAL428
POOL_vW3p2mEAf695AQl11,00007,2023-06-05 00:00:00.000,2020-07-16 00:00:00.000,,False,Abc2@abc38.com,ABC27.Com1,vAL9,Val86,VaL3,vaL517,saKsham43,VaL915,2020-07-24 00:00:00.000,m48,3232302.0,vAL83
pOOL_vw3p9mEAf692Aql,00008,2023-06-05 00:00:00.000,2020-06-30 00:00:00.000,,False,Abc@abc.com,AbC2.cOm13,vAL133,Val87,VaL27,VAL62,SaKsham7,VaL2,2020-08-04 00:00:00.000,M457,3232292.0,Val49
pOOL_vw3p9mEAf692aql6,00009,2023-06-05 00:00:00.000,2020-07-07 00:00:00.000,,False,Abc2@abc2.cOm65,abc2.coM150,val86,VAl861,vaL35,VAl,s,vAL8,2020-07-07 00:00:00.000,M627,3232313.0,VAL768
POOL_vw3p9mEaf652aql8,00010,2023-06-05 00:00:00.000,2020-08-03 00:00:00.000,,False,abc2@abc20.coM67,Abc28.cOM12,VaL6090,Val96,Val77,VAL630,SAksham,vaL2,2020-07-13 00:00:00.000,m018,3232301.0,vAL2677
pOOL_vw3p4meAf692aql611,00011,2023-06-05 00:00:00.000,2020-07-08 00:00:00.000,,False,conNect2me@gmail1.com0,abC316.coM0,vAl1934,Val4,vaL753,VAL16,s9,VAL915,2020-07-04 00:00:00.000,m6,3232304.0,VAL7071
POOL_vW3p2mEAf696AqL1,00012,2023-06-05 00:00:00.000,2020-07-20 00:00:00.000,,False,ABc29@abc2.com6,abc2.cOm556,vAl5934,Val2693,vaL54,VaL1,S9,vAL012,2020-07-22 00:00:00.000,MalHotrA,3232333.0,VAL21175
