id,last_updated_at,_fivetran_synced,account_id,agent_email,agent_full_name,agent_group_role,agent_name,agent_role,first_visit,id_hash,last_browser_name,last_browser_version,last_operating_system,last_server_name,last_user_agent,last_visit,n_id,salesforce_country_c,salesforce_fivetran_industry_category_c,salesforce_job_function_c,salesforce_job_level_c,salesforce_name,agent_language,pendo_lastemail,pendo_lastemailstatus
straddle_cloud,2020-12-26 13:08:51.907,2020-12-26 20:09:23.528,comedy_cras,yo@github.io,Ronald McDonald,,,Owner,2020-11-28 22:33:37.543,2832249180,Chrome,87.0.4280,unknown,fivetran.com,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_1_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",2020-12-24 09:48:01.952,,,,,,,,,
confident_face,2020-12-12 13:08:24.366,2020-12-12 20:29:56.014,_etc_acc,hello@gmail.com,Hello Hi,,,Owner,2020-09-21 19:13:48.511,2170177977,Chrome,85.0.4183,Mac OS X,fivetran.com,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",2020-09-21 19:24:20.800,,,,,,,,,
mountain_neighbouring,2021-06-19 12:11:50.426,2021-06-19 20:11:31.575,assemblies_class,obi.wan@google.com,Obi Wan,,,Owner,2020-06-16 02:29:44.583,138531682,Safari,13.1.1,iOS,fivetran.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Mobile/15E148 Safari/604.1",2020-06-16 02:29:44.583,,,,,,,,,
river_deep,2021-04-15 12:12:43.819,2021-04-15 20:11:27.812,famous_modification,hi@gmail.com,Bill Clinton,,Bill Clinton,Owner,2020-05-17 02:47:28.537,425871239,Chrome,88.0.4324,Windows,fivetran.com,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36",2021-02-08 15:56:06.699,,,,information_technology,,,,,
mountain_high,2021-03-30 22:33:09.528,2021-03-31 08:18:47.697,clumsy_tentacle,meep.l@gmail.com,Alexander the Great,,,Owner,2021-01-12 16:46:58.278,163325431,Chrome,89.0.4389,Mac OS X,fivetran.com,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36",2021-03-30 22:32:17.369,,,,,,,,,
RVU_0000000001,2021-01-30 00:00:00.000,2021-03-26 00:00:00.000,RDV_00000001,yo@gIthUb0.io,AlExander the Great,val5924,Bill ClIntoN0,OwnEr8,2020-09-11 00:00:00.000,1004779814,sAfAri0,87.2.4880,unKnown2,FivEtrAn.com4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) ApplEWebKit/537.36 (KHTML, like Gecko) ChRome/85.0.4183.102 Safari/537.56",2020-10-06 00:00:00.000,val8034,val4780,val2392,infOrMaTion_technology6,val4438,val6541,val5926,val8289,val7266
RVU_0000000002,2021-03-14 00:00:00.000,2021-05-15 00:00:00.000,RDV_00000002,hEllo@GMail.com2,AlexAndeR the Great,val9439,bill ClintOn3,OwNER,2020-09-19 00:00:00.000,2296830300,CHrOme,09.0.7349,WinDows2,Fivetran.cOm9,"MozillA/5.0 (Macintosh; InteL Mac OS X 11_1_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.365",2020-10-25 00:00:00.000,val1869,val9752,val6297,inforMation_technology3,val2532,val3208,val7923,val6436,val8458
RVU_0000000003,2021-04-30 00:00:00.000,2020-12-28 00:00:00.000,RDV_00000003,yo1@github.io,Hello HI8,val8827,bill CliNtOn5,OWnER,2020-09-22 00:00:00.000,1118951672,ChrOme8,87.0.47800,unknown7,fiveTran4.cOm,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_1_0) AppleWebKit/537.365 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",2020-10-25 00:00:00.000,val2906,val7943,val4213,information_techNology,val4179,val4484,val7857,val7325,val8988
RVU_0000000004,2021-02-17 00:00:00.000,2021-05-26 00:00:00.000,RDV_00000004,meeP.l9@gmail.com2,AlexandeR2 the great2,val4015,BiLl0 ClinTon2,OwnEr2,2020-09-09 00:00:00.000,210830457,ChROme3,895.06.4389,WInDows,fIvetraN.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac6 OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Mobile/15E148 Safari/604.12",2020-09-08 00:00:00.000,val3302,val3889,val3450,infoRmation_Technology,val2566,val4018,val3218,val2639,val9945
RVU_0000000005,2021-06-15 00:00:00.000,2021-06-18 00:00:00.000,RDV_00000005,obi.wan2@gooGle.com0,Obi wan2,val2249,BilL Clinton4,OwNeR,2020-08-01 00:00:00.000,1329048859,safari5,887.0.4524,Mac Os X8,fiVetRan7.com,"Mozilla/5.0 (Macintosh; Intel Mac oS X 10_15_6) AppleWebKit/537.36 (KhTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",2020-10-13 00:00:00.000,val2792,val3016,val9058,iNformaTion_tecHnology,val1859,val2974,val6288,val5366,val4853
RVU_0000000006,2021-03-23 00:00:00.000,2021-04-25 00:00:00.000,RDV_00000006,yo9@gitHub.Io,Alexander the GREaT2,val1999,bILl Clinton5,ownER9,2021-01-12 00:00:00.000,2038216719,ChrOME,38.0.43246,unknOwn7,fivETran.Com,"Mozilla7/5.0 (Macintosh; Intel Mac OS X 10_14_6) ApplewebKit/537.36 (KHTML0, like Gecko) Chrome/89.0.4389.90 Safari/537.36",2020-11-18 00:00:00.000,val4043,val2032,val6251,inFormation_technology9,val3581,val5464,val2776,val1506,val2353
RVU_0000000007,2021-01-07 00:00:00.000,2021-01-27 00:00:00.000,RDV_00000007,meep.l@gmaIl.com0,hello hi1,val4596,bill CliNton1,owneR5,2021-01-06 00:00:00.000,2440889509,ChRoMe,80.0.2324,Mac OS X3,fivetran.com0,"Mozilla/5.0 (Macintosh; Intel2 Mac OS X 105_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.2183.102 Safari/537.36",2020-07-06 00:00:00.000,val3868,val7615,val1031,informatIon_tEchnOlogy,val5637,val5179,val2937,val3297,val9843
